0,0|180,180,180,180,180,180,180,180,180,180| standing still
0,0|180,180,180,180,180,180,180,180,180,180| standing still
40,15|190,190,215,275,170,170,130,20,260,175| running (contact other)
80,15|190,190,120,210,190,280,270,180,110,5| running (down)
120,15|190,190,180,200,170,260,180,80,220,115| running (passing)
160,15|190,190,200,210,160,210,160,45,240,150| running (up)
200,15|190,190,210,230,150,190,150,35,250,170| running (air)
240,15|190,190,210,270,170,170,260,160,160,70| running (contact)
280,15|190,190,120,210,190,280,270,180,110,5| running (down)
320,15|190,190,180,200,170,260,180,80,220,115| running (passing)
360,15|190,190,210,230,150,190,150,35,250,170| running (air)
400,15|190,190,200,210,160,210,160,45,240,150| running (up)
440,15|190,190,215,275,170,170,130,20,260,175| running (contact other)
480,15|190,190,120,210,190,280,270,180,110,5| running (down)
520,15|190,190,180,200,170,260,180,80,220,115| running (passing)
560,15|190,190,200,210,160,210,160,45,240,150| running (up)
600,15|190,190,210,230,150,190,150,35,250,170| running (air)
640,15|190,190,210,270,170,170,260,160,160,70| running (contact)
680,15|190,190,120,210,190,280,270,180,110,5| running (down)
720,15|190,190,180,200,170,260,180,80,220,115| running (passing)
760,15|190,190,210,230,150,190,150,35,250,170| running (air)
800,15|190,190,200,210,160,210,160,45,240,150| running (up)
840,15|190,190,215,275,170,170,130,20,260,175| running (contact other)
880,15|190,190,120,210,190,280,270,180,110,5| running (down)
920,15|190,190,180,200,170,260,180,80,220,115| running (passing)
960,15|190,190,200,210,160,210,160,45,240,150| running (up)
1000,15|190,190,210,230,150,190,150,35,250,170| running (air)
